,MAHALLE,İLCE,ZIPCODE
0,BURGAZADA MAH,ADALAR,34975
1,MADEN MAH,ADALAR,34970
2,NİZAM MAH,ADALAR,34970
3,HEYBELİADA MAH,ADALAR,34973
4,KINALIADA MAH,ADALAR,34977
5,ANADOLU MAH,ARNAVUTKÖY,34275
6,ARNAVUTKÖY MERKEZ MAH,ARNAVUTKÖY,34275
7,İMRAHOR MAH,ARNAVUTKÖY,34275
8,İSLAMBEY MAH,ARNAVUTKÖY,34275
9,MUSTAFA KEMAL PAŞA MAH,ARNAVUTKÖY,34275
10,NENEHATUN MAH,ARNAVUTKÖY,34275
11,YAVUZ SELİM MAH,ARNAVUTKÖY,34275
12,ADNAN MENDERES MAH,ARNAVUTKÖY,34277
13,BAKLALI MAH,ARNAVUTKÖY,34277
14,BALABAN MAH,ARNAVUTKÖY,34277
15,BOYALIK MAH,ARNAVUTKÖY,34277
16,ÇİLİNGİR MAH,ARNAVUTKÖY,34277
17,DURSUNKÖY MAH,ARNAVUTKÖY,34277
18,DURUSU MAH,ARNAVUTKÖY,34277
19,FATİH MAH,ARNAVUTKÖY,34277
20,HACIMAŞLI MAH,ARNAVUTKÖY,34277
21,KARABURUN MAH,ARNAVUTKÖY,34277
22,SAZLIBOSNA MAH,ARNAVUTKÖY,34277
23,TAYAKADIN MAH,ARNAVUTKÖY,34277
24,TERKOS MAH,ARNAVUTKÖY,34277
25,YASSIÖREN MAH,ARNAVUTKÖY,34277
26,YENİKÖY MAH,ARNAVUTKÖY,34277
27,ATATÜRK MAH,ARNAVUTKÖY,34285
28,BOĞAZKÖY İSTİKLAL MAH,ARNAVUTKÖY,34285
29,YUNUS EMRE MAH,ARNAVUTKÖY,34285
30,BOLLUCA MAH,ARNAVUTKÖY,34287
31,HİCRET MAH,ARNAVUTKÖY,34287
32,MAVİGÖL MAH,ARNAVUTKÖY,34287
33,DELİKLİKAYA MAH,ARNAVUTKÖY,34555
34,HADIMKÖY MAH,ARNAVUTKÖY,34555
35,HASTANE MAH,ARNAVUTKÖY,34555
36,ÖMERLİ MAH,ARNAVUTKÖY,34555
37,YEŞİLBAYIR MAH,ARNAVUTKÖY,34555
38,HARAÇÇI MAH,ARNAVUTKÖY,34281
39,KARLIBAYIR MAH,ARNAVUTKÖY,34281
40,MAREŞAL FEVZİ ÇAKMAK MAH,ARNAVUTKÖY,34283
41,MEHMET AKİF ERSOY MAH,ARNAVUTKÖY,34283
42,TAŞOLUK MAH,ARNAVUTKÖY,34283
43,FERHATPAŞA MAH,ATAŞEHİR,34888
44,İÇERENKÖY MAH,ATAŞEHİR,34752
45,İNÖNÜ MAH,ATAŞEHİR,34755
46,KAYIŞDAĞI MAH,ATAŞEHİR,34755
47,KÜÇÜKBAKKALKÖY MAH,ATAŞEHİR,34750
48,AŞIKVEYSEL MAH,ATAŞEHİR,34707
49,MUSTAFA KEMAL MAH,ATAŞEHİR,34707
50,ESATPAŞA MAH,ATAŞEHİR,34704
51,FETİH MAH,ATAŞEHİR,34704
52,ÖRNEK MAH,ATAŞEHİR,34704
53,MEVLANA MAH,ATAŞEHİR,34779
54,MİMAR SİNAN MAH,ATAŞEHİR,34779
